model_name,equipment_code
Aerospatiale (Nord) 262,N262
Aerospatiale (Sud Aviation) Se.210 Caravelle,S210
Aerospatiale SN.601 Corvette,S601
Aerospatiale/Alenia ATR 42-300,AT43
Aerospatiale/Alenia ATR 42-500,AT45
Aerospatiale/Alenia ATR 42-600,AT46
Aerospatiale/Alenia ATR 72,AT72
Airbus A300,A30B
Airbus A300-600,A306
Airbus A300-600ST Super Transporter / Beluga,A3ST
Airbus A310,A310
Airbus A318,A318
Airbus A319,A319
Airbus A319neo,A19N
Airbus A320,A320
Airbus A320neo,A20N
Airbus A321,A321
Airbus A321neo,A21N
Airbus A330,
Airbus A330-200,A332
Airbus A330-300,A333
Airbus A330-700 Beluga XL,A337
Airbus A330-800neo,A338
Airbus A330-900neo,A339
Airbus A340,
Airbus A340-200,A342
Airbus A340-300,A343
Airbus A340-500,A345
Airbus A340-600,A346
Airbus A350,
Airbus A350-1000,A35K
Airbus A350-900,A359
Airbus A380,
Airbus A380-800,A388
Antonov AN-12,AN12
Antonov AN-124 Ruslan,A124
Antonov AN-140,A140
Antonov An-148,A148
Antonov An-158,A158
Antonov An-225 Mriya,A225
Antonov AN-24,AN24
Antonov AN-26,AN26
Antonov AN-28,AN28
Antonov AN-30,AN30
Antonov AN-32,AN32
Antonov AN-72,AN72
Avro RJ100,RJ1H
Avro RJ70,RJ70
Avro RJ85,RJ85
BAe 146,
BAe 146-100,B461
BAe 146-200,B462
BAe 146-300,B463
Beechcraft 1900,B190
Beechcraft Baron,BE58
Beechcraft Baron / 55 Baron,BE55
Bell 212,B212
Boeing 707,B703
Boeing 717,B712
Boeing 720B,B720
Boeing 727,
Boeing 727-100,B721
Boeing 727-200,B722
Boeing 737,
Boeing 737 MAX 10,
Boeing 737 MAX 7,B37M
Boeing 737 MAX 8,B38M
Boeing 737 MAX 9,B39M
Boeing 737-200,B732
Boeing 737-300,B733
Boeing 737-400,B734
Boeing 737-500,B735
Boeing 737-600,B736
Boeing 737-700,B737
Boeing 737-800,B738
Boeing 737-900,B739
Boeing 747,
Boeing 747 LCF Dreamlifter,BLCF
Boeing 747-100,B741
Boeing 747-200,B742
Boeing 747-300,B743
Boeing 747-400,B744
Boeing 747-400D,B74D
Boeing 747-8,B748
Boeing 747SP,B74S
Boeing 747SR,B74R
Boeing 757,
Boeing 757-200,B752
Boeing 757-300,B753
Boeing 767,
Boeing 767-200,B762
Boeing 767-300,B763
Boeing 767-400,B764
Boeing 777,
Boeing 777-200,B772
Boeing 777-200LR,B77L
Boeing 777-300,B773
Boeing 777-300ER,B77W
Boeing 777-8,B778
Boeing 777-9,B779
Boeing 787,
Boeing 787-10,B78X
Boeing 787-8,B788
Boeing 787-9,B789
Bombardier 415,CL2T
Bombardier BD-100 Challenger 300,CL30
Bombardier CS100,BCS1
Bombardier CS300,BCS3
Bombardier Global Express,GLEX
British Aerospace (BAC) One Eleven,BA11
British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,H25B
British Aerospace 125-1000 series / Hawker/Raytheon 1000,H25C
British Aerospace ATP,ATP
British Aerospace Jetstream 31,JS31
British Aerospace Jetstream 32,JS32
British Aerospace Jetstream 41,JS41
Canadair Challenger,CL60
Canadair CL-44,CL44
Canadair Regional Jet 100,CRJ1
Canadair Regional Jet 1000,CRJX
Canadair Regional Jet 200,CRJ2
Canadair Regional Jet 700,CRJ7
Canadair Regional Jet 900,CRJ9
Cessna 152,C152
Cessna 172,C172
Cessna 182 Skylane,C182
Cessna 208 Caravan,C208
Cessna 210 Centurion,C210
Cessna Citation CJ3,C25B
Cessna Citation CJ4,C25C
Cessna Citation Excel,C56X
Cessna Citation I,C500
Cessna Citation II,C550
Cessna Citation Mustang,C510
Cessna Citation Sovereign,C680
Cessna Citation X,C750
COMAC C-919,C919
Concorde,CONC
Dassault Falcon 2000,F2TH
Dassault Falcon 50,FA50
Dassault Falcon 7X,FA7X
Dassault Falcon 900,F900
De Havilland Canada DHC-2 Beaver,DHC2
De Havilland Canada DHC-2 Turbo-Beaver,DH2T
De Havilland Canada DHC-3 Otter,DHC3
De Havilland Canada DHC-4 Caribou,DHC4
De Havilland Canada DHC-6 Twin Otter,DHC6
De Havilland Canada DHC-7 Dash 7,DHC7
De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH8A
De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH8B
De Havilland Canada DHC-8-300 Dash 8,DH8C
De Havilland Canada DHC-8-400 Dash 8Q,DH8D
De Havilland DH.104 Dove,DOVE
De Havilland DH.114 Heron,HERN
Douglas DC-10,DC10
Douglas DC-3,DC3
Douglas DC-6,DC6
Douglas DC-8-50,DC85
Douglas DC-8-62,DC86
Douglas DC-8-72,DC87
Douglas DC-9-10,DC91
Douglas DC-9-20,DC92
Douglas DC-9-30,DC93
Douglas DC-9-40,DC94
Douglas DC-9-50,DC95
Embraer 170,E170
Embraer 175,
Embraer 175 (long wing),E75L
Embraer 175 (short wing),E75S
Embraer 190,E190
Embraer 195,E195
Embraer E190-E2,E290
Embraer E195-E2,E295
Embraer EMB 110 Bandeirante,E110
Embraer EMB 120 Brasilia,E120
Embraer Legacy 450,E545
Embraer Legacy 600,E35L
Embraer Phenom 100,E50P
Embraer Phenom 300,E55P
Embraer RJ135,E135
Embraer RJ140,E135
Embraer RJ145,E145
Fairchild Dornier 328JET,J328
Fairchild Dornier Do.228,D228
Fairchild Dornier Do.328,D328
Fokker 100,F100
Fokker 50,F50
Fokker 70,F70
Fokker F27 Friendship,F27
Fokker F28 Fellowship,F28
Gulfstream Aerospace G-159 Gulfstream I,G159
Gulfstream G280,G280
Gulfstream G650,GLF6
Gulfstream IV,GLF4
Gulfstream V,GLF5
Gulfstream/Rockwell (Aero) Commander,AC68
Gulfstream/Rockwell (Aero) Turbo Commander,AC90
Harbin Yunshuji Y12,Y12
Hawker Siddeley HS 748,A748
Ilyushin IL114,I114
Ilyushin IL18,IL18
Ilyushin IL62,IL62
Ilyushin IL76,IL76
Ilyushin IL86,IL86
Ilyushin IL96,IL96
Learjet 35,LJ35
Learjet 60,LJ60
Lockheed L-1011 Tristar,L101
Lockheed L-1049 Super Constellation,CONI
Lockheed L-182 / 282 / 382 (L-100) Hercules,C130
Lockheed L-188 Electra,L188
McDonnell Douglas MD-11,MD11
McDonnell Douglas MD-81,MD81
McDonnell Douglas MD-82,MD82
McDonnell Douglas MD-83,MD83
McDonnell Douglas MD-87,MD87
McDonnell Douglas MD-88,MD88
McDonnell Douglas MD-90,MD90
NAMC YS-11,YS11
Partenavia P.68,P68
Pilatus Britten-Norman BN-2A Mk III Trislander,TRIS
Pilatus Britten-Norman BN-2A/B Islander,BN2P
Pilatus PC-12,PC12
Pilatus PC-6 Turbo Porter,PC6T
Piper PA-28 (above 200 hp),P28B
Piper PA-28 (up to 180 hp),P28A
Piper PA-31 Navajo,PA31
Piper PA-44 Seminole,PA44
Piper PA-46,PA46
Saab 2000,SB20
Saab SF340A/B,SF34
Shorts SC-5 Belfast,BELF
Shorts SC-7 Skyvan,SC7
Shorts SD.330,SH33
Shorts SD.360,SH36
Sikorsky S-58T,S58T
