airline_id,name,iata,icao,active
-1,Unknown,,,Y
1,Private flight,,,Y
2,135 Airways,,GNL,N
3,1Time Airline,1T,RNX,Y
4,2 Sqn No 1 Elementary Flying Training School,,WYT,N
5,213 Flight Unit,,TFU,N
6,223 Flight Unit State Airline,,CHD,N
7,224th Flight Unit,,TTF,N
8,247 Jet Ltd,,TWF,N
9,3D Aviation,,SEC,N
10,40-Mile Air,Q5,MLA,Y
11,4D Air,,QRT,N
12,611897 Alberta Limited,,THD,N
13,Ansett Australia,AN,AAA,Y
14,Abacus International,1B,,Y
15,Abelag Aviation,W9,AAB,N
16,Army Air Corps,,AAC,N
17,Aero Aviation Centre Ltd.,,AAD,N
18,Aero Servicios Ejecutivos Internacionales,,SII,N
19,Aero Biniza,,BZS,N
20,Aero Albatros,,ABM,N
21,Aigle Azur,ZI,AAF,Y
22,Aloha Airlines,AQ,AAH,Y
23,Alaska Island Air,,AAK,N
24,American Airlines,AA,AAL,Y
25,Aviation Management Corporation,,AAM,N
26,Atlantis Airlines (USA),,AAO,N
27,Aerovista Airlines,,AAP,N
28,Asiana Airlines,OZ,AAR,Y
29,Askari Aviation,4K,AAS,Y
30,Australia Asia Airlines,,AAU,N
31,Astro Air International,,AAV,N
32,Afriqiyah Airways,8U,AAW,Y
33,Afrinat International Airlines,Q9,AFU,N
34,Afric'air Express,,AAX,N
35,Allegiant Air,G4,AAY,Y
36,Angus Aviation,,AAZ,N
37,Artem-Avia,,ABA,N
38,African Business and Transportations,,ABB,N
39,Aban Air,K5,ABE,n
40,Aerial Oy,,ABF,N
41,Abakan-Avia,,ABG,N
42,ABSA - Aerolinhas Brasileiras,M3,TUS,Y
43,Abaet,,ABJ,N
44,Alberta Citylink,,ABK,N
45,APSA Colombia,,ABO,N
46,Aerovias Bueno,,ABU,N
47,Aerocenter,,ACR,N
48,Antrak Air,4,ABV,N
49,Airborne Express,GB,ABX,N
50,ABX Air,GB,ABX,N
51,ATA Brasil,,ABZ,N
52,Avcard Services,,ACC,N
53,Academy Airlines,,ACD,N
54,Aero Comondu,,ACO,N
55,Astral Aviation,8V,ACP,Y
56,Air Cess,,ACS,N
57,Air Aurora,,AAI,N
58,Air Cargo Transportation System,,ACU,N
59,Air Charter Service,,ACV,N
60,Aero Asia International,E4,RSO,N
61,Air Charters,,ACX,N
62,Air Togo,YT,TGA,N
63,Air Somalia,,RSM,N
64,Atlas Cargo Lines,,ACY,N
65,Airservices Australia,,ADA,N
66,Advance Leasing Company,4G,,N
67,Aztec Worldwide Airlines,7A,,N
68,Air Tindi,8T,,Y
69,Antonov Airlines,,ADB,N
70,Air Atlantic Dominicana,,ADC,N
71,Advanced Air Co.,,ADD,N
72,Ada Air,ZY,ADE,Y
73,Aerea Flying Training Organization,,ADG,N
74,Audeli Air,,ADI,N
75,Abicar,,ADJ,N
76,ADC Airlines,Z7,ADK,N
77,Aero Dynamics,,ADL,N
78,Aerolineas Dominicanas,,ADM,N
79,Aerodienst GmbH,,ADN,N
80,Aerodiplomatic,,ADP,N
81,Aerodyne,,ADY,N
82,Avion Taxi,,ADQ,N
83,Adria Airways,JP,ADR,Y
84,Aviones de Sonora,,ADS,N
85,Air Dorval,,ADT,N
86,Airdeal Oy,,ADU,N
87,Advance Air Charters,,ADV,N
88,Air Andaman,,ADW,N
89,Anderson Aviation,,ADX,N
90,Air Europa,UX,AEA,Y
91,Air Southwest Ltd.,,ASW,N
92,Air Special,,ASX,N
93,Aero Benin,EM,AEB,Y
94,Aerocesar,,AEC,N
95,Aerotrans Airlines,,AED,N
96,Aegean Airlines,A3,AEE,Y
97,Aerofumigaciones Sam,,AEG,N
98,Aeroexpreso Interamericano,,AEI,N
99,Air Express,,AEJ,N
100,Aerocon,,AEK,N
101,Aero Madrid,,AEM,N
102,Aeroenlaces Nacionales,,AEN,N
103,Aeroservicios Ejecutivos Del Occidente,,AEO,N
104,Aerotec,,AEP,N
105,Air Atlantique,KI,AAG,N
106,Air Europe,PE,AEL,Y
107,Air Alma,,AAJ,N
108,Air Express,,AEQ,N
109,Alaska Central Express,KO,AER,Y
110,ACES Colombia,,AES,Y
111,Aeronautical Radio of Thailand,,AET,N
112,Astraeus,5W,AEU,Y
113,Aeroventas,,AEV,N
114,Aerosvit Airlines,VV,AEW,Y
115,Airway Express,,AEX,N
116,Air Italy,I9,AEY,Y
117,Aerial Transit Company,,AEZ,N
118,Alfa Air,,AFA,N
119,American Falcon,WK,AFB,N
120,Alliance Airlines,QQ,UTY,Y
121,Air Universal,,UVS,N
122,Auvia Air,,UVT,N
123,African West Air,,AFC,N
124,Airfast Indonesia,,AFE,N
125,Ariana Afghan Airlines,FG,AFG,Y
126,Air Fecteau,,AFH,N
127,Africaone,,AFI,N
128,Alliance,,AFJ,N
129,Africa Air Links,,AFK,N
130,Aeroflot Russian Airlines,SU,AFL,Y
131,Aero Empresa Mexicana,,AFO,N
132,Air Bosna,JA,BON,Y
133,Air Bravo,,BRF,N
134,Air Brasd'or,,BRL,N
135,Air 500,,BRM,N
136,Alba Servizi Aerotrasporti,,AFQ,N
137,Air France,AF,AFR,Y
138,Air Partner,,ACG,N
139,Air Caledonie International,SB,ACI,Y
140,Air Caledonia,,ACM,N
141,Air Guam,,AGM,N
142,Air Gabon,GN,AGN,N
143,Air Data,,AFS,N
144,Air Afrique Vacancies,,AFV,N
145,Air Cargo America,,MVM,N
146,Air Salone,2O,,Y
147,Air-Angol,,NGO,N
148,Air Nigeria,,NGP,N
149,Air Cargo Carriers,2Q,SNC,Y
150,Air Samarkand,,SND,N
151,Air Senegal International,V7,SNG,N
152,Air Sandy,,SNY,N
153,Air Namibia,SW,NMB,Y
154,Air Intersalonika,,NSK,N
155,Air Anatolia,,NTL,N
156,Air Saigon,,SGA,N
157,Afrique Regional Airways,,AFW,N
158,Airfreight Express,,AFX,N
159,Africa Chartered Services,,AFY,N
160,Africa Freight Services,,AFZ,N
161,Aeronaves Del Centro,,AGA,N
162,Air Service Gabon,G8,AGB,N
163,Arab Agricultural Aviation Company,,AGC,N
164,Atlantic Gulf Airlines,,AGF,N
165,Aerolitoral,5D,SLI,Y
166,Algoma Airways,,AGG,N
167,Altagna,,AGH,N
168,Angola Air Charter,,AGO,N
169,Angola Air Charter,,AGO,N
170,AERFI Group,,AGP,N
171,Aerogala,,AGQ,N
172,Amadeus Global Travel Distribution,1A,AGT,N
173,Angara Airlines,,AGU,N
174,Air Glaciers,7T,AGV,Y
175,Aero Gambia,,AGW,N
176,Aviogenex,,AGX,Y
177,Atlantic Coast Airlines,,BLR,N
178,Aero Barloz,,BLZ,N
179,Aeroper,PL,PLI,Y
180,Atlas Blue,8A,BMM,Y
181,Aero Banobras,,BNB,N
182,Aero Flight Service,,AGY,N
183,Agrolet-Mci,,AGZ,N
184,Air Alpha Greenland,GD,AHA,N
185,Azal Avia Cargo,,AHC,N
186,Airport Helicopter Basel,,AHE,N
187,Aeroservices Corporate,,CJE,N
188,Aspen Helicopters,,AHF,N
189,Aerochago Airlines,,AHG,N
190,Airplanes Holdings,,AHH,N
191,Air Hong Kong,LD,AHK,N
192,Aerochiapas,,AHP,N
193,Air Adriatic,,AHR,N
194,Air Viggi San Raffaele,,AHS,N
195,ABC Air Hungary,,AHU,N
196,Aeromist-Kharkiv,HT,AHW,N
197,Azerbaijan Airlines,J2,AHY,Y
198,Avies,U3,AIA,Y
199,Airbus Industrie,AP,AIB,N
